sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
531,1,0,0,0,0,0,50541.7
532,0,0,0,0,0,0,53083.3
533,1,0,0,0,0,0,50375.0
534,0,0,0,0,0,0,50458.3
535,0,0,0,0,0,0,50416.7
536,0,0,0,0,0,0,50500.0
537,1,0,0,0,0,0,50416.7
538,1,0,0,0,0,0,50541.7
539,0,0,0,0,0,0,50416.7
540,0,0,0,0,0,0,50541.7
541,0,0,0,0,0,0,50375.0
542,0,0,0,0,0,0,50541.7
543,1,0,0,0,0,0,50416.7
544,0,0,0,0,0,0,50375.0
545,0,0,0,0,0,0,50666.7
546,0,0,0,0,0,0,50416.7
547,0,0,0,0,0,0,50458.3
548,0,0,0,0,0,0,50500.0
549,1,0,0,0,0,0,50333.3
550,1,0,0,0,0,0,50375.0
551,0,0,0,0,0,0,50333.3
552,1,0,0,0,0,0,50458.3
553,1,0,0,0,0,0,50291.7
554,0,0,0,0,0,0,50541.7
555,1,0,0,0,0,0,50500.0
556,1,0,0,0,0,0,50750.0
557,0,0,0,0,0,0,50541.7
558,1,0,0,0,0,0,50666.7
559,1,0,0,0,0,0,50625.0
560,1,0,0,0,0,0,50875.0
561,0,0,0,0,0,0,50458.3
562,0,0,0,0,0,0,50541.7
563,0,0,0,0,0,0,50458.3
564,1,0,0,0,0,0,50333.3
565,0,0,0,0,0,0,50500.0
566,0,0,0,0,0,0,50625.0
567,1,0,0,0,0,0,50708.3
568,1,0,0,0,0,0,50416.7
569,1,0,0,0,0,0,51500.0
570,0,0,0,0,0,0,50416.7
571,1,0,0,0,0,0,50583.3
572,0,0,0,0,0,0,50625.0
573,1,0,0,0,0,0,50500.0
574,0,0,0,0,0,0,50541.7
575,1,0,0,0,0,0,50333.3
576,0,0,0,0,0,0,50250.0
577,1,0,0,0,0,0,50500.0
578,1,0,0,0,0,0,52375.0
579,1,0,0,0,0,0,51541.7
580,0,0,0,0,0,0,50750.0
581,0,0,0,0,0,0,52208.3
582,1,0,0,0,0,0,53250.0
583,1,0,0,0,0,0,54208.3
584,1,0,0,0,0,0,51916.7
585,1,0,0,0,0,0,50416.7
586,1,0,0,0,0,0,50500.0
587,1,0,0,0,0,0,50291.7
588,0,0,0,0,0,0,50333.3
589,0,0,0,0,0,0,50333.3
590,0,0,0,0,0,0,50375.0
591,1,0,0,0,0,0,50416.7
592,1,0,0,0,0,0,50375.0
593,0,0,0,0,0,0,50291.7
594,1,0,0,0,0,0,50333.3
595,1,0,0,0,0,0,50375.0
596,1,0,0,0,0,0,50333.3
597,0,0,0,0,0,0,50416.7
598,1,0,0,0,0,0,50291.7
599,0,0,0,0,0,0,50500.0
600,1,0,0,0,0,0,50500.0
601,0,0,0,0,0,0,50375.0
602,1,0,0,0,0,0,50541.7
603,0,0,0,0,0,0,50375.0
604,0,0,0,0,0,0,50500.0
605,1,0,0,0,0,0,50375.0
606,0,0,0,0,0,0,50500.0
607,1,0,0,0,0,0,50333.3
608,1,0,0,0,0,0,50416.7
609,1,0,0,0,0,0,50416.7
610,1,0,0,0,0,0,50500.0
611,0,0,0,0,0,0,50375.0
612,0,0,0,0,0,0,50416.7
613,1,0,0,0,0,0,50666.7
614,1,0,0,0,0,0,50416.7
615,0,0,0,0,0,0,50375.0
616,1,0,0,0,0,0,50333.3
617,1,0,0,0,0,0,50416.7
618,1,0,0,0,0,0,50333.3
619,1,0,0,0,0,0,50416.7
620,0,0,0,0,0,0,50375.0
621,0,0,0,0,0,0,50500.0
622,1,0,0,0,0,0,50375.0
623,0,0,0,0,0,0,50375.0
624,0,0,0,0,0,0,50458.3
625,0,0,0,0,0,0,50416.7
626,1,0,0,0,0,0,50416.7
627,1,0,0,0,0,0,50541.7
628,0,0,0,0,0,0,50500.0
629,0,0,0,0,0,0,50333.3
630,1,0,0,0,0,0,50500.0
631,1,0,0,0,0,0,50458.3
632,0,0,0,0,0,0,50375.0
633,1,0,0,0,0,0,50458.3
634,0,0,0,0,0,0,50416.7
635,1,0,0,0,0,0,50458.3
636,0,0,0,0,0,0,50458.3
637,0,0,0,0,0,0,50375.0
638,1,0,0,0,0,0,50458.3
639,0,0,0,0,0,0,50500.0
640,0,0,0,0,0,0,50583.3
641,0,0,0,0,0,0,50375.0
642,0,0,0,0,0,0,50458.3
643,0,0,0,0,0,0,50333.3
644,1,0,0,0,0,0,50416.7
645,0,0,0,0,0,0,50458.3
646,1,0,0,0,0,0,50375.0
647,0,0,0,0,0,0,50333.3
648,0,0,0,0,0,0,50375.0
649,0,0,0,0,0,0,50333.3
650,0,0,0,0,0,0,50416.7
651,1,0,0,0,0,0,50458.3
652,1,0,0,0,0,0,50416.7
653,0,0,0,0,0,0,50291.7
654,0,0,0,0,0,0,50458.3
655,0,0,0,0,0,0,50416.7
656,0,0,0,0,0,0,50458.3
657,1,0,0,0,0,0,50416.7
658,0,0,0,0,0,0,50375.0
659,1,0,0,0,0,0,51666.7
660,0,0,0,0,0,0,61000.0
661,1,0,0,0,0,0,57416.7
662,1,0,0,0,0,0,52666.7
663,1,0,0,0,0,0,52458.3
664,0,0,0,0,0,0,53291.7
665,0,0,0,0,0,0,54208.3
666,1,0,0,0,0,0,53958.3
667,1,0,0,0,0,0,54375.0
668,1,0,0,0,0,0,52375.0
669,1,0,0,0,0,0,54416.7
670,0,0,0,0,0,0,50708.3
671,0,0,0,0,0,0,50625.0
672,1,0,0,0,0,0,50333.3
673,1,0,0,0,0,0,50291.7
674,1,0,0,0,0,0,50291.7
675,0,0,0,0,0,0,50291.7
676,0,0,0,0,0,0,50375.0
677,0,0,0,0,0,0,50291.7
678,1,0,0,0,0,0,50250.0
679,1,0,0,0,0,0,50291.7
680,1,0,0,0,0,0,50208.3
681,0,0,0,0,0,0,50375.0
682,1,0,0,0,0,0,50375.0
683,1,0,0,0,0,0,50250.0
684,1,0,0,0,0,0,50458.3
685,1,0,0,0,0,0,50166.7
686,1,0,0,0,0,0,50291.7
687,0,0,0,0,0,0,50333.3
688,1,0,0,0,0,0,50375.0
689,1,0,0,0,0,0,50375.0
690,0,0,0,0,0,0,50250.0
691,0,0,0,0,0,0,50375.0
692,0,0,0,0,0,0,50416.7
693,0,0,0,0,0,0,50333.3
694,1,0,0,0,0,0,50458.3
695,0,0,0,0,0,0,50416.7
696,0,0,0,0,0,0,50333.3
697,0,0,0,0,0,0,50250.0
698,0,0,0,0,0,0,50375.0
699,0,0,0,0,0,0,50291.7
700,1,0,0,0,0,0,50333.3
701,0,0,0,0,0,0,50375.0
702,1,0,0,0,0,0,50291.7
703,0,0,0,0,0,0,50333.3
704,1,0,0,0,0,0,50291.7
705,0,0,0,0,0,0,50375.0
706,0,0,0,0,0,0,50291.7
707,1,0,0,0,0,0,50333.3
708,1,0,0,0,0,0,50416.7
709,1,0,0,0,0,0,50708.3
710,1,0,0,0,0,0,51333.3
711,0,0,0,0,0,0,52541.7
712,0,0,0,0,0,0,52875.0
713,1,0,0,0,0,0,50291.7
714,1,0,0,0,0,0,50416.7
715,1,0,0,0,0,0,50291.7
716,1,0,0,0,0,0,50583.3
717,1,0,0,0,0,0,50416.7
718,0,0,0,0,0,0,50416.7
719,0,0,0,0,0,0,50375.0
720,1,0,0,0,0,0,50750.0
